Krankenhausstraße 4, Zimmer 649, 2359, Übelbach, Wien, Austria
Neustiftgasse 11, 1 OG, 0867, Waidhofen an der Thaya, Burgenland, Austria
Geigen 22, Zimmer 250, 4026, Vitis, Steiermark, Austria
Uferstraße (Schwarzau am Steinfeld) 57c, 2 OG, 5716, Mattsee, Niederösterreich, Austria
Auer-von-Welsbach-Weg 73a, 8 OG, 0246, Marbach an der Donau, Burgenland, Austria
Alleestraße (Poysbrunn) 936, Apt. 044, 5176, Sankt Johann im Saggautal, Wien, Austria
Koloniestraße 329, Apt. 515, 5884, Gams bei Hieflau, Wien, Austria
Geigen 65, Apt. 934, 3120, Itter, Salzburg, Austria
Fuchsgrubenweg 46, Apt. 903, 6756, Pilgersdorf, Burgenland, Austria
Herminengasse 54c, Apt. 802, 1225, Übelbach, Kärnten, Austria
Donaugasse 903, Apt. 653, 3147, Lech, Salzburg, Austria
Stöpflweg 850, 9 OG, 1568, Wien, Oberösterreich, Austria
Blasiussteig 21b, 8 OG, 8955, Ungerdorf, Tirol, Austria
Kirchenplatz 12b, Apt. 140, 8581, Neustift an der Lafnitz, Niederösterreich, Austria
Feld-Weg 09, Apt. 835, 4580, Ellmau, Burgenland, Austria
Rupertistraße 5, Apt. 508, 9799, Frantschach-St. Gertraud, Niederösterreich, Austria
Raiden 74, 1 OG, 4100, Mautern an der Donau, Wien, Austria
Hermann von Gilmweg 433, Zimmer 028, 5561, Ort im Innkreis, Tirol, Austria
